frame,variance
0,0.31542569570587653
0,0.012146674509393895
0,0.9362403324163162
0,0.017636911866447086
1,0.20691377313171222
1,0.006442589577092062
1,0.7476384278378561
1,0.016348415482043334
2,0.1695454668937746
2,0.004329468418344071
2,0.38531278468947705
2,0.010257115479050657
3,0.03155992300130883
3,0.0004078732136213459
3,0.1014123049480844
3,0.001425567325169852
4,0.09530072332607442
4,0.003207280886750356
4,0.12672014863956016
4,0.02061191131573085
5,0.0
5,0.0
5,0.0
5,0.0
6,0.09585783958482696
6,0.002179959101346644
6,0.13233339214461826
6,0.010583047098433477
7,0.1515996264559375
7,0.0017967524910460029
7,0.25352397758889644
7,0.006480889461229249
8,0.15917944881653234
8,0.0024205208745940354
8,0.33075531835909655
8,0.00588509020735848
9,0.15158052303287994
9,0.0026103507679288923
9,0.16938897495711458
9,0.0037337357938431012
10,0.15130754613792075
10,0.0017372259677784292
10,0.11380996852864356
10,0.0012839789908947524
11,0.0
11,0.0
11,0.0
11,0.0
